Noticias,links
"

",https://www.semana.com//semana-tv/semana-noticias/articulo/congreso-aclara-que-no-autorizo-presencia-de-militares-de-eeuu-en-colombia/698785
Congreso aclara que no autorizó presencia de militares de EE.UU en Colombia,https://www.semana.com//semana-tv/semana-noticias/articulo/congreso-aclara-que-no-autorizo-presencia-de-militares-de-eeuu-en-colombia/698785
"

",https://www.semana.com//educacion/articulo/cuales-son-los-perfiles-tecnologicos-que-mas-requieren-las-empresas/698897
Los perfiles tecnológicos que más requieren las empresas,https://www.semana.com//educacion/articulo/cuales-son-los-perfiles-tecnologicos-que-mas-requieren-las-empresas/698897
"

",https://www.semana.com//economia/articulo/decreto-sobre-piso-de-proteccion-social-esta-es-la-polemica-que-ha-generado/698991
La candente polémica que ha generado el Decreto sobre piso de protección social,https://www.semana.com//economia/articulo/decreto-sobre-piso-de-proteccion-social-esta-es-la-polemica-que-ha-generado/698991
"

",https://www.semana.com//nacion/articulo/cali-que-se-puede-hacer-y-que-no-con-la-nueva-normalidad--noticias-hoy/698880
Cali: ¿Qué se puede hacer y qué no con la nueva normalidad? ,https://www.semana.com//nacion/articulo/cali-que-se-puede-hacer-y-que-no-con-la-nueva-normalidad--noticias-hoy/698880
"

",https://www.semana.com/http://sostenibilidad.semana.com/actualidad/articulo/atender-la-pandemia-no-deberia-dar-lugar-al-descuido-del-medio-ambiente-onu/54731
“Atender la pandemia no debería generar descuido del medio ambiente”: ONU,https://www.semana.com/http://sostenibilidad.semana.com/actualidad/articulo/atender-la-pandemia-no-deberia-dar-lugar-al-descuido-del-medio-ambiente-onu/54731
"

",https://www.semana.com//nacion/articulo/barranquilla-se-reactiva-con-libre-circulacion-y-seis-vuelos-nacionales/698879
Barranquilla se reactiva con libre circulación y seis vuelos nacionales,https://www.semana.com//nacion/articulo/barranquilla-se-reactiva-con-libre-circulacion-y-seis-vuelos-nacionales/698879
"

",https://www.semana.com//deportes/articulo/clasificacion-general-tour-de-francia-2020-etapa-4/698987
Así va la clasificación general después de la emocionante llegada de la etapa 4,https://www.semana.com//deportes/articulo/clasificacion-general-tour-de-francia-2020-etapa-4/698987
"

",https://www.semana.com//nacion/articulo/va-a-viajar-por-carretera-tome-nota-de-estas-recomendaciones/698851
¿Va a viajar por carretera? Tome nota de estas recomendaciones,https://www.semana.com//nacion/articulo/va-a-viajar-por-carretera-tome-nota-de-estas-recomendaciones/698851
"

",https://www.semana.com/http://sostenibilidad.semana.com/medio-ambiente/articulo/caza-deportiva-sera-juzgada-penalmente-de-ahora-en-adelante-en-colombia-hoy/54733
"Desde ahora, cárcel por caza deportiva en el país",https://www.semana.com/http://sostenibilidad.semana.com/medio-ambiente/articulo/caza-deportiva-sera-juzgada-penalmente-de-ahora-en-adelante-en-colombia-hoy/54733
"

",https://www.semana.com//economia/articulo/busca-empleo-asi-funciona-el-programa-de-formacion-tic-protalento/698763
"Protalento, una organización que hace puente al que busca empleo",https://www.semana.com//economia/articulo/busca-empleo-asi-funciona-el-programa-de-formacion-tic-protalento/698763
"

",https://www.semana.com//deportes/articulo/fc-barcelona-confirmo-el-traspaso-de-ivan-rakitic-al-sevilla-fc--deportes-hoy/698869
Confirman que otro grande del Barcelona se va del club azulgrana,https://www.semana.com//deportes/articulo/fc-barcelona-confirmo-el-traspaso-de-ivan-rakitic-al-sevilla-fc--deportes-hoy/698869
"

",https://www.semana.com//mundo/articulo/coronavirus-con-tapabocas-y-distanciamiento-social-francia-abre-sus-escuelas/698843
"""¡Nos hizo mucha falta!"": los niños en Francia regresan a clases",https://www.semana.com//mundo/articulo/coronavirus-con-tapabocas-y-distanciamiento-social-francia-abre-sus-escuelas/698843
"

",https://www.semana.com//deportes/articulo/nairo-quintana-hoy-las-declaraciones-que-dio-en-la-etapa-4-del-tour-de-francia/698939
La frase que le malinterpretaron a Nairo Quintana,https://www.semana.com//deportes/articulo/nairo-quintana-hoy-las-declaraciones-que-dio-en-la-etapa-4-del-tour-de-francia/698939
"

",https://www.semana.com//vida-moderna/articulo/las-sorprendentes-ventajas-de-la-ansiedad-y-las-preocupaciones/698804
Las sorprendentes ventajas de la ansiedad y las preocupaciones,https://www.semana.com//vida-moderna/articulo/las-sorprendentes-ventajas-de-la-ansiedad-y-las-preocupaciones/698804
"

",https://www.semana.com//economia/articulo/reapertura-hoteles-decameron-fabio-villegas-cuenta-la-experiencia-de-reabrir/698803
"Hoteles Decameron, la experiencia de reabrir puertas con cero ingresos",https://www.semana.com//economia/articulo/reapertura-hoteles-decameron-fabio-villegas-cuenta-la-experiencia-de-reabrir/698803
"

",https://www.semana.com/http://sostenibilidad.semana.com/actualidad/articulo/crece-trafico-de-jaguares-en-latinoamerica--mundo-hoy/54738
¿Qué tienen que ver las inversiones chinas con el tráfico de jaguares?,https://www.semana.com/http://sostenibilidad.semana.com/actualidad/articulo/crece-trafico-de-jaguares-en-latinoamerica--mundo-hoy/54738
"

",https://www.semana.com/http://sostenibilidad.semana.com/medio-ambiente/articulo/mineria-ilegal-a-cielo-abierto-no-da-tregua-en-antioquia-i-colombia-noticias/54598
