Noticias,links
"“Fue una verdadera patada en el estómago”, dijo el actor Dwayne Johnson, al afirmar que la pandemia no tiene que ver con política e insistir en el uso de tapabocas.",https://noticias.caracoltv.com/entretenimiento/la-roca-revelo-que-el-y-su-familia-tuvieron-coronavirus
"




",https://noticias.caracoltv.com/salud/vacuna-contra-covid-19-no-estaria-antes-del-primer-semestre-de-2021-minsalud
Salud,https://noticias.caracoltv.com/salud
Vacuna contra COVID-19 no estaría antes del primer semestre de 2021: Minsalud,https://noticias.caracoltv.com/salud/vacuna-contra-covid-19-no-estaria-antes-del-primer-semestre-de-2021-minsalud
"El ministro señaló que, al tiempo de desarrollo, hay que sumarle el de comercialización entre países, lo que podría retrasar su llegada a Colombia.",https://noticias.caracoltv.com/salud/vacuna-contra-covid-19-no-estaria-antes-del-primer-semestre-de-2021-minsalud
"




",https://noticias.caracoltv.com/antioquia/mi-bebe-es-muy-pequeno-y-no-le-puedo-faltar-danna-garcia-habla-de-la-muerte-tras-el-covid-19
Antioquia,https://noticias.caracoltv.com/antioquia
“Mi bebé es muy pequeño y no le puedo faltar”: Danna García habla de la muerte tras el COVID-19,https://noticias.caracoltv.com/antioquia/mi-bebe-es-muy-pequeno-y-no-le-puedo-faltar-danna-garcia-habla-de-la-muerte-tras-el-covid-19
La actriz confesó que mientras vivió los momentos más difíciles por la enfermedad hizo algunos trámites legales y llamadas pensando en el bienestar de su hijo Dante.,https://noticias.caracoltv.com/antioquia/mi-bebe-es-muy-pequeno-y-no-le-puedo-faltar-danna-garcia-habla-de-la-muerte-tras-el-covid-19
"




",https://noticias.caracoltv.com/antioquia/preparese-para-ver-mas-gente-en-el-metro-autorizaron-ampliar-su-capacidad-de-ocupacion
Antioquia,https://noticias.caracoltv.com/antioquia
Prepárese para ver más gente en el Metro: autorizaron ampliar su capacidad de ocupación,https://noticias.caracoltv.com/antioquia/preparese-para-ver-mas-gente-en-el-metro-autorizaron-ampliar-su-capacidad-de-ocupacion
"Esto, además de que debido a la reactivación económica de diferentes sectores, se ha registrado un aumento de pasajeros en el sistema.",https://noticias.caracoltv.com/antioquia/preparese-para-ver-mas-gente-en-el-metro-autorizaron-ampliar-su-capacidad-de-ocupacion
"




",https://noticias.caracoltv.com/valle/por-una-afeccion-respiratoria-clara-luz-roldan-fue-internada-en-una-clinica-de-cali
Valle,https://noticias.caracoltv.com/valle
"Por una “afección respiratoria”, Clara Luz Roldán fue internada en una clínica de Cali",https://noticias.caracoltv.com/valle/por-una-afeccion-respiratoria-clara-luz-roldan-fue-internada-en-una-clinica-de-cali
